accountIdentifier,principal,numberOfOwnedNFTs,ownedNFTs,ownedNFTsVisible,minted,numberOfMintedNFTs,mintedNFTs,mintedNFTsVisible,mintValueICP,sold,numberOfSoldNFTs,soldNFTs,soldNFTsVisible,sellValueICP,bought,numberOfBoughtNFTs,boughtNFTs,boughtNFTsVisible,buyValueICP,listings,numberOfListedNFTs,listedNFTs,listedNFTsVisible,minListingPriceICP,collectionName,collectionCanisterId
077f04f2dd26eec39704fc4595c565463568a637c288be49f0586b03f95431a6,j3du3-7wjyt-ovgje-cimy6-uqhzm-uiipz-2qe3z-fbeaw-khms7-sygz4-pae,11,33;98;147;51;100;405;85;326;74;379;159,34;99;148;52;101;406;86;327;75;380;160,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
5b2573757332d82425c864d1e23b1142d82b43d619196132a5b4564d75710111,fe4bw-nhvfn-5seks-dgxoi-r76m7-la2k7-ngzqt-kl5as-pruls-a3muz-lae,8,272;144;388;389;71;393;394;380,273;145;389;390;72;394;395;381,false,0,,,0,false,0,,,0,true,5,144;388;389;393;394,145;389;390;394;395,410,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
4d7cd1a1268213075216ac487b3c293a5077aeeb8362efc041d230a8eb96bbad,zmfzs-vgs67-rxz3v-7y2uw-dk75f-fheht-4wuo4-72ddc-pbs7x-6mr5l-aae,8,160;225;418;229;314;124;349;157,161;226;419;230;315;125;350;158,false,0,,,0,false,0,,,0,true,8,160;225;418;229;314;124;349;157,161;226;419;230;315;125;350;158,304,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
5dd1943d29e31697288d07b1d85eed3be8e828c2668ad0291336d9b956ed91e2,6vr5o-ux2vh-rom5y-aidmq-qjcaj-rmqbw-genxy-umpf4-v3rjk-t26a5-7ae,7,338;324;391;216;412;302;158,339;325;392;217;413;303;159,false,0,,,0,false,0,,,0,true,2,216;158,217;159,62,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
d2eee1bf288b7c42357ee6318f86aa5e4d1a6d58171c12bf773e3b9213a5542f,mds2d-xyy33-jqqyc-ltcw6-g6rvj-6dr4u-qp62e-737rb-uetma-rt7o4-5qe,6,257;259;311;247;235;191,258;260;312;248;236;192,false,0,,,0,false,0,,,0,true,6,257;259;311;247;235;191,258;260;312;248;236;192,180.59999999,true,1,311,312,89,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
ffa8c0252106d9a545f04b065dd6a6b738e2d271b59fda14ea75cf540056fb71,udmjf-fyc6j-f7dnl-dw5bh-hh4wg-ln7iy-36pgp-mjocm-my4vc-r2irg-2ae,6,304;371;339;375;330;331,305;372;340;376;331;332,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
c9050b4884be2b9045be8cbb4157b19160775cad17dd9641df0c7740c7815626,kxetu-w5chs-o4tzs-tvkgr-d3cpo-37mop-2ayyv-ogc5x-r6ufy-nmkco-fae,6,64;162;261;280;395;238,65;163;262;281;396;239,false,0,,,0,false,0,,,0,true,1,261,262,18.98,true,2,64;162,65;163,30,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
c75fe787358afb58a91da76436fec66f97ca6fde4d471c5ff189e620908eb704,xue6w-y427b-j2ygw-tbduo-daj2n-s3brb-kpqql-wusyk-4o4ls-ihd2g-uae,5,192;112;72;153;171,193;113;73;154;172,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
6930ca7d16a632e271197e5e42ec523c07e2ae4eef5a4bb97ee795d0a9b6a2f7,ne7kl-gpbub-bzqox-jepql-fiffs-lltfm-as5vy-3zfnj-m63nc-xlmzm-yqe,5,145;323;341;343;91,146;324;342;344;92,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
a5e41ca2229be8435e1bf274b7cd972343abe24f801c36efae7fc2e17817506f,dq6mg-eoyn2-jge6b-5w3qr-7a2zl-7ic7d-zrvrs-edvve-5mxxl-cez4k-kqe,5,52;327;120;237;93,53;328;121;238;94,false,0,,,0,false,0,,,0,false,0,,,0,true,1,93,94,37,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
96b97086ad880f1ad15c81f5ba6f35b6e7b8f02c16ca0f5ff051c91567afe8ec,g4t3m-xo4ls-pjtgk-627ou-esc5w-dgxkq-n43ay-4lqwn-my2o5-ql7yt-kqe,5,81;274;309;24;44,82;275;310;25;45,false,0,,,0,false,0,,,0,true,2,81;24,82;25,24.5,true,5,81;274;309;24;44,82;275;310;25;45,33,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
439f5b44cbe53d30563760c1a3908c90ce7fdeeea1c31bdc33a86f899c2ca36b,6sicu-gkfvn-5pkgl-z72ae-xs7dq-p252e-g42hi-hosap-wxddd-breoj-iqe,5,384;404;411;397;398,385;405;412;398;399,false,0,,,0,false,0,,,0,false,0,,,0,false,0,,,0,Catalyze,gksxm-waaaa-aaaao-aapjq-cai
